Response ID,Age,Sex,Nationality,Country of Residence,Completed level of education with specialization/major,Completed level of education with specialization/major [Comment],Profession,Profession [Other],Please specify your job title,Do you have previous experience with robotics?,Do you have previous experience with Explainable Artificial Intelligence?,Do you have color blindness?,I have understood the study design and task.,What was the first obstacle encountered by the robot during navigation?,What was the second obstacle encountered by the robot during navigation?,How was the second obstruction cleared?,I'm able to understand the actions/behavior of the robot with the given explanation.,I'm satisfied with the explanation provided.,The explanation provides sufficient details of the robot's actions and behaviors.,The explanation accurately describes the movement and actions of the robot.,The explanation provides reliable information about the robot's actions.,The explanation describes the robot's actions/behaviors efficiently.,The explanation describes the robot's actions and situation completely​​​​​.,,I could see the reasons behind choosing this method (textual) for the explanation.
4,20,Male,Bosnian,Bosnia and Herzegovina,High School,Computer Science & Engineering,Engineering,,N/A,Yes,No,No,Yes,Chair_2,Human_4,Moving human_4,5,5,5,5,5,5,3,,3
6,20,Male,Bosnian,B,High School,,Other,Student,Student,No,No,No,Yes,Chair_2,Human_4,Moving human_4,5,4,3,2,4,5,4,,5
7,20,Female,BiH,BiH,High School,,Engineering,,20,No,No,No,Yes,Desk_2,Bookshelf_1,Moving chair_2,3,3,2,5,4,3,3,,2
10,20,Male,Bosniak,Bosnia and Herzegowina,High School,,Engineering,,student,No,No,No,Yes,Chair_2,Human_4,Moving human_4,5,4,4,5,5,5,4,,4
13,21,Male,Bosnian,Bosnia and Herzegovina,High School,,Engineering,,I'm a Student of Faculty of Electrical Engineering,Yes,No,Yes,Yes,Chair_2,Bookshelf_1,Moving human_4,5,5,1,5,5,5,5,,4
15,20,Female,Bosnian,Bosnia and Herzegovina,High School,,Other,N/A,N/A,No,No,No,Yes,Chair_2,Human_4,Moving human_4,5,5,5,5,5,5,5,,4
18,20,Male,Bosniak,Bosnia and Herzegovina,High School,,Other,N/A,Student,Yes,No,No,Yes,Chair_2,Human_4,Moving human_4,5,4,3,3,4,3,3,,5
21,20,Male,Bosnian,Bosnia & Herzegovina,High School,Trenutno pohađam Elektrotehnučki fakultet u Sarajevu.,Other,Student,Nezaposlen,No,Yes,No,Yes,Chair_2,Human_4,Moving human_4,4,3,3,5,4,4,4,,3
22,21,Female,Bosnian,Bosnia and Herzegovina,High School,,Other,N/A,Student,No,Yes,No,Yes,Chair_2,Human_4,Moving human_4,5,5,5,5,4,5,5,,4
23,20,Female,Bosnia and Herzegovina,Bosnia and Herzegovina,High School,,Other,N/A,N/A,No,No,No,Yes,Chair_2,Human_4,Moving human_4,5,4,5,5,5,5,5,,4
24,21,Male,bosnian,Bosnia and Herzegovina,High School,,Engineering,,IT,No,No,No,Yes,Desk_2,Bookshelf_1,Rerouting,2,3,3,2,4,3,4,,4
26,22,Female,Bosnia & Herzegovina,Bosnia & Herzegovina,High School,,Engineering,,Student,No,No,No,Yes,Chair_2,Human_4,Moving human_4,5,4,4,5,4,5,5,,5
27,20,Male,Bosniak,Bosnia and Herzegovina,High School,Electrical technician of computer and informatics,Other,N/A,Bachelor student ETF Sarajevo ,No,No,No,Yes,Chair_2,Human_4,Moving human_4,5,5,4,4,4,5,4,,4
28,20,Male,Bosnian,Bosnia And Hercegovina,High School,Elektrotehničar računarske tehnike i automatike,Engineering,,Unemployed ,No,Yes,No,Yes,Chair_2,Human_4,Moving human_4,4,5,4,4,3,4,5,,4
29,22,Male,BiH,BiH,High School,,Engineering,,Student,Yes,No,No,Yes,Chair_2,Human_4,Moving human_4,5,4,5,3,4,5,4,,5
31,21,Female,Bosnian,Bosnia and Herzegovina,High School,,Engineering,,Student of computer science and informatics,No,No,No,Yes,Chair_2,Human_4,Moving human_4,5,5,3,3,3,4,2,,5
32,20,Female,Bosnian,Bosnia and Herzegovina,High School,,Other,N/A,N/A,Yes,No,No,Yes,Chair_2,Human_4,Moving human_4,5,4,4,5,4,3,4,,5
33,20,Male,Bosnian,Bosnia and Herzegovina,High School,,Other,N/A,N/A (student),No,No,No,Yes,Chair_2,Human_4,Moving human_4,4,4,5,5,4,5,3,,3
35,21,Male,Bosnian,Bosnia and Herzegovina,High School,,Engineering,,N/A,No,No,No,Yes,Chair_2,Human_4,Moving human_4,4,4,5,5,5,5,4,,5
36,19,Male,BiH,Bosnia and Herzegovina,High School,,Other,Student,Studying at ETF Sarajevo,Yes,Yes,No,Yes,Chair_2,Human_4,Moving human_4,5,3,4,4,5,5,4,,5
37,21,Male,Bosnian,Bosnia & Herzegovina,High School,,Other,N/A,student,No,Yes,No,Yes,Chair_2,Human_4,Moving human_4,5,4,5,5,5,5,5,,5
39,20,Male,Bosnian,Bosnia and Herzegovina,High School,,Engineering,,Unemployed,Yes,No,No,Yes,Chair_2,Human_4,Moving human_4,5,5,5,5,5,5,5,,5
41,21,Male,Bosnian,Bosnia and Herzegovina,High School,I'm studying for Bachelor Degree,Other,N/A,N/A,No,No,No,Yes,Chair_2,Human_4,Moving human_4,4,4,3,3,4,3,2,,4
45,33,Male,German,Germany,Master Degree,,AI/Robotics,,Grad Student,Yes,Yes,No,Yes,Chair_2,Bookshelf_1,Rerouting,1,2,1,2,2,2,1,,1
48,24,Male,Turkey,Turkey,Bachelor Degree,,Engineering,,Petroleum Subsea Engineer,No,No,No,Yes,Chair_2,Sofa_3,Rerouting,4,4,4,4,5,5,4,,5
51,20,Female, Bosnia and Herzegovina,Bosnia and Herzegovina,High School,Electrical engineering student,Other,Student,Student,No,No,No,Yes,Chair_2,Human_4,Moving human_4,3,3,4,4,2,4,4,,4
52,30,Male,Indian,India,Master Degree,,Other,It,Project Manager,No,Yes,No,Yes,Chair_2,Bookshelf_1,Rerouting,5,5,5,5,5,5,5,,5
59,26,Male,Bosnian,Bosnia and Herzegowina,Bachelor Degree,,Engineering,,Telecommunications,No,No,No,Yes,Chair_2,Bookshelf_1,Rerouting,3,4,4,4,3,4,3,,4
60,22,Male,Bosnian,Bosnia and Herzegovina,Bachelor Degree,Still on Bachelor degree program.,Engineering,,Software engineer,No,No,No,Yes,Chair_2,Human_4,Moving human_4,5,5,5,5,5,5,5,,4
61,25,Female,syrian,Germany,Bachelor Degree,Medical engineering,Other,n/a,student,No,No,No,Yes,Chair_2,Bookshelf_1,Rerouting,2,2,2,3,1,3,2,,1
62,21,Male,BiH,BiH,High School,Electrical Engineering ,Other,N/A,N/A,Yes,No,No,Yes,Chair_2,Human_4,Moving human_4,3,2,3,4,4,2,5,,3
70,28,Female,BiH,BIH,Master Degree,,Engineering,,Business analyst,Yes,No,No,Yes,Chair_2,Human_4,Moving human_4,5,4,4,4,5,5,5,,5
72,20,Male,Bosnian,Bosnia and Herzegovina,Bachelor Degree,,Other,student,none,No,No,No,Yes,Chair_2,Human_4,Moving human_4,4,4,4,4,3,4,3,,3
73,23,Female,Bosnia and Herzegovina,Bosnia and Herzegovina,High School,,Other,N/A,N/A,No,No,No,Yes,Chair_2,Human_4,Moving human_4,5,4,4,3,5,4,3,,5
75,22,Male,Bosnian,Bosnia and Herzegovina,High School,Currently studying in Faculty of Electrical Engineering,Engineering,,"Well kinda programmer in future, right now STUDENT ",No,No,No,Yes,Chair_2,Human_4,Moving human_4,2,2,2,2,3,2,2,,3
76,21,Female,bih,bih,High School,,Engineering,,student,No,No,No,Yes,Chair_2,Human_4,Moving human_4,5,5,4,5,4,3,3,,2
78,20,Female,Bosnian,Bosnia and Herzegovina,High School,,Engineering,,Student,No,Yes,No,Yes,Chair_2,Human_4,Moving human_4,5,5,5,4,5,4,3,,5
79,21,Male,Bosniak,Bosnia and Herzegovina,Bachelor Degree,,Other,N/A,N/A,No,No,No,Yes,Chair_2,Human_4,Moving human_4,5,5,5,5,5,4,3,,4
80,20,Female,Bosniak,Bosnia and Herzegovina,High School,,Other,Student,Student,No,No,No,Yes,Chair_2,Human_4,Moving human_4,4,4,4,4,4,5,4,,5
81,26,Female,Turkish,Germany,Bachelor Degree,Psychology,Other,N/A,N/A,No,No,No,Yes,Chair_2,Human_4,Moving human_4,4,5,3,4,4,3,3,,3
82,21,Male,Bosnian,Bosnia & Herzegovina,High School,,Engineering,,Frontend web development,No,No,No,Yes,Chair_2,Human_4,Moving human_4,5,3,5,5,4,4,5,,3
85,20,Male,Bosniak,Bosnia and Herzegovina,High School,,Engineering,,Student,Yes,No,No,Yes,Chair_2,Human_4,Moving human_4,5,5,4,4,5,3,4,,3
