Response ID,Age,Sex,Nationality,Country of Residence,Completed level of education with specialization/major,Completed level of education with specialization/major [Comment],Profession,Profession [Other],Please specify your job title,Do you have previous experience with robotics?,Do you have previous experience with Explainable Artificial Intelligence?,Do you have color blindness?,I have understood the study design and task.,What was the first obstacle encountered by the robot during navigation?,What was the second obstacle encountered by the robot during navigation?,How was the second obstruction cleared?,Q1,Q2,Q3,Q4,Q5,Q6,Q7,,Q8
Somewhat disagree,21,Female,Bosniak,Bosnia and Herzegovina ,High School,,Engineering,,Student,No,No,No,Yes,Chair_2,Human_4,Moving human_4,Neutral,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,,Strongly agree
Somewhat agree,20,Female,Bosniak,Bosnia and Hercegovina,High School,,Engineering,,Student,No,Yes,No,Yes,Chair_2,Human_4,Moving human_4,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,,Somewhat disagree
Strongly agree,21,Female,Bosniak,Bosnia and Herzegovina,High School,,Engineering,,Student and devops intern,Yes,No,No,Yes,Chair_2,Human_4,Moving human_4,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,,Strongly agree
8,20,Female,Bosnian,Bosnia and Herzegovina,High School,,Other,Student,N/A,No,Yes,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,,Strongly agree
9,22,Male,Bosnia & Herzegovina,Bosnia & Herzegovina,High School,,Other,computer science and informatics,Student,No,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,,Strongly agree
10,23,Male,Bosnian,Bosnia and Herzegovina,High School,,Other,Student,Student,Yes,No,No,Yes,Chair_2,Human_4,Moving human_4,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neutral,,Somewhat agree
12,21,Male,Bosnian,Bosnia and Herzegovina,High School,,Other,N/A,Student,No,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Strongly agree
14,20,Female,Bosniak,Bosnia and Herzegovina,High School,,Engineering,,Student,No,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Strongly agree
15,21,Female,Bosnia and Herzegovina,Bosnia and Herzegovina,High School,,Engineering,,Student,No,No,No,Yes,Chair_2,Human_4,Moving human_4,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,Neutral
16,20,Male,Bosniak,Bosnia and Herzegovina,High School,,Engineering,,Computer science student,No,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neutral,,Somewhat agree
17,20,Female,Bosnia and Herzegovina,Bosnia and Herzegovina,Bachelor Degree,Engineering ,Other,N/A,N/A,Yes,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,,Strongly agree
18,19,Male,BiH,Bosnia and Herzegovina,High School,/,Engineering,,Student,No,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,,Somewhat agree
19,20,Male,Bosnian,Bosnia and Herzegovina,High School,1st year of college,Engineering,,Unemployed,Yes,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Strongly agree
22,20,Female,Bosnian,Bosnia and Herzegowina,High School,,Other,Student,N/A,No,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Strongly agree,,Somewhat agree
23,20,Female,Bosnian,Bosnia and Herzegowina,High School,,Other,N/A,Student,Yes,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,,Strongly agree
25,25,Male,German/Bosnian,Germany,Master Degree,,Healthcare,,Physician,Yes,No,No,Yes,Chair_2,Human_4,Moving human_4,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly disagree,,Strongly agree
26,20,Male,Bošnjak,Bosna i Hercegovina,High School,,Other,N/A,Student,Yes,Yes,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Neutral,Somewhat agree,Neutral,Neutral,Neutral,Neutral,,Somewhat disagree
27,23,Female,Bosnian,Bosnia & Herzegovina,High School,,Other,N/A,N/A,Yes,Yes,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,,Strongly agree
29,20,Male,Bosnia and Herzegovina,Bosnia and Herzegovina,High School,High school of electrical engineering - computing and informatics  ,Other,N/A,Unemployed-student  ,No,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,Neutral
30,20,Female,Bošnjakinja,BiH,High School,,Other,student,/,No,No,No,Yes,Chair_2,Bookshelf_1,Moving human_4,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Strongly agree
31,21,Male,Croatian/Bosnian,Bosnia and Herzegovina,High School,,Engineering,,"Unemployed, currently studying",No,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,,Strongly agree
32,20,Female,Bosnian,Bosnia and Herzegovina,Bachelor Degree,"Electrical Engineering,1st year",Engineering,,None,No,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,,Strongly agree
34,40,Male,French,Germany,Doctorate,,Engineering,,Thermal architect,Yes,No,No,Yes,Chair_2,Human_4,Moving human_4,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,,Somewhat agree
35,26,Male,Indian,India,Bachelor Degree,,Engineering,,Software Developer,Yes,Yes,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,,Strongly agree
36,27,Male,Bosnian,BiH,Master Degree,,Engineering,,Network and system administrator,Yes,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,,Strongly agree
41,26,Female,indian,Germany,Master Degree,,Engineering,,N/A,No,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Neutral,Neutral,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,,Neutral
42,25,Female,Bosnian ,Bosnia and Herzegovina,Bachelor Degree,Visual Art and Communication Design,Design,,Graphic designer,No,No,No,Yes,Chair_2,Human_4,Moving human_4,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,,Strongly agree
43,33,Male,Italian,Austria,Master Degree,Pursuing now a PhD degree,Engineering,,Analog Design Engineer,No,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Strongly agree
44,20,Female,BiH,Bosna i Hercegovina,High School,,Other,N/A,student,No,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Strongly agree
46,24,Male,German,Germany,Bachelor Degree,,Psychology,,Student,Yes,Yes,No,Yes,Desk_2,Bookshelf_1,Moving human_4,Neutral,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neutral,Neutral,,Somewhat agree
48,20,Male,Bosniak,Bosnia and Herzegovina,High School,,Engineering,,Electrical Engineer,No,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,,Somewhat agree
49,37,Female,Syrian,Germany ,Master Degree,,Engineering,,Engineer ,No,Yes,No,Yes,Chair_2,Human_4,Moving human_4,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,,Somewhat disagree
50,20,Male,bih,bih,Bachelor Degree,,Engineering,,student,No,Yes,No,Yes,Chair_2,Human_4,Moving human_4,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Neutral,,Neutral
56,20,Female,Bosnian ,Bosnia and Herzegovina ,High School,,Other,N/A,N/A,No,No,No,Yes,Chair_2,Bookshelf_1,Moving human_4,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Neutral,Somewhat agree,Neutral,,Somewhat agree
58,24,Male,INDIAN,INDIA,Bachelor Degree,COMPUTER ENGINEERING ,Design,,UX/UI DESIGNER,Yes,Yes,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Strongly agree
59,20,Male,Bosnian,Bosnia and Herzegovina,High School,,Other,student,student,No,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Strongly agree
60,20,Male,BiH,Bosnia and Herzegovina,High School,Madrasa,Other,N/A,Student,No,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Strongly agree,Neutral,Somewhat agree,Somewhat disagree,Somewhat agree,Neutral,,Strongly agree
61,21,Male,Bosnian,Bosnia and Herzegovina,High School,,Engineering,,none,No,No,Yes,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,,Somewhat agree
62,20,Female,BiH,Bosnia and Herzegovina,Bachelor Degree,Electrical engineering,Engineering,,"Bachelor of electrical engineering, computing and informatics",No,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,,Strongly disagree
64,20,Female,Serbian,Serbia,High School,,Other,student,student,No,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,,Somewhat agree
65,20,Female,Bosniak,Bosnia and Herzegovina,High School,I finished high school and now I'm in the first year of the Faculty of Electrical Engineering in Sarajevo.,Engineering,,I'm a student,No,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,,Strongly agree
66,25,Male,Bosniak ,Sweden,Master Degree,Master degree in Computer Science with specialization in Intelligent Embedded systems ,Engineering,,PhD student in computer science ,No,No,No,Yes,Chair_2,Human_4,Rerouting,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,Strongly agree
