Response ID,Age,Sex,Nationality,Country of Residence,Completed level of education with specialization/major,Completed level of education with specialization/major [Comment],Profession,Profession [Other],Please specify your job title,Do you have previous experience with robotics?,Do you have previous experience with Explainable Artificial Intelligence?,Do you have color blindness?,I have understood the study design and task.,What was the first obstacle encountered by the robot during navigation?,What was the second obstacle encountered by the robot during navigation?,How was the second obstruction cleared?,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9
Somewhat agree,Somewhat disagree0,Male,Bosnian,Bosnia and Herzegovina,High School,Computer Science & Engineering,Engineering,na,N/A,Yes,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Somewhat agree,Neutral
6,Somewhat disagree0,Male,Bosnian,B,High School,na,Other,Student,Student,No,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Somewhat agree,Neutral,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree
7,Somewhat disagree0,Female,BiH,BiH,High School,na,Engineering,na,na,No,No,No,Yes,Desk_Somewhat disagree,Bookshelf_Strongly disagree,Moving chair_Somewhat disagree,Neutral,Neutral,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree,Neutral,Neutral,Neutral
Strongly disagree0,Somewhat disagree0,Male,Bosniak,Bosnia and Herzegowina,High School,na,Engineering,na,student,No,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree
Strongly disagreeNeutral,Somewhat disagreeStrongly disagree,Male,Bosnian,Bosnia and Herzegovina,High School,na,Engineering,na,I'm a Student of Faculty of Electrical Engineering,Yes,No,Yes,Yes,Chair_Somewhat disagree,Bookshelf_Strongly disagree,Moving human_Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree
Strongly disagreeStrongly agree,Somewhat disagree0,Female,Bosnian,Bosnia and Herzegovina,High School,na,Other,N/A,N/A,No,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree
Strongly disagree6,Somewhat disagreeSomewhat disagree,Male,Bosnian,Bosnia and Herzegovina,High School,na,Information Services,na,I do not have a job title,No,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree
Strongly disagree8,Somewhat disagree0,Male,Bosniak,Bosnia and Herzegovina,High School,na,Other,N/A,Student,Yes,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Somewhat agree,Neutral,Neutral,Somewhat agree,Strongly agree,Neutral,Somewhat disagree,Neutral
Somewhat disagreeStrongly disagree,Somewhat disagree0,Male,Bosnian,Bosnia & Herzegovina,High School,Trenutno pohađam Elektrotehnučki fakultet u Sarajevu.,Other,Student,Nezaposlen,No,Yes,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Somewhat agree,Neutral,Neutral,Strongly agree,Somewhat agree,Neutral,Somewhat agree,Strongly agree,Somewhat agree
Somewhat disagreeSomewhat disagree,Somewhat disagreeStrongly disagree,Female,Bosnian,Bosnia and Herzegovina,High School,na,Other,N/A,Student,No,Yes,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree
Somewhat disagreeNeutral,Somewhat disagree0,Female,Bosnia and Herzegovina,Bosnia and Herzegovina,High School,na,Other,N/A,N/A,No,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree
Somewhat disagreeSomewhat agree,Somewhat disagreeStrongly disagree,Male,bosnian,Bosnia and Herzegovina,High School,na,Engineering,na,IT,No,No,No,Yes,Desk_Somewhat disagree,Bookshelf_Strongly disagree,Rerouting,Somewhat disagree,Neutral,Neutral,Somewhat disagree,Somewhat agree,Somewhat agree,Neutral,Neutral,Somewhat agree
Somewhat disagree7,Somewhat disagree0,Male,Bosniak,Bosnia and Herzegovina,High School,Electrical technician of computer and informatics,Other,N/A,Bachelor student ETF Sarajevo ,No,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree
Somewhat disagree8,Somewhat disagree0,Male,Bosnian,Bosnia And Hercegovina,High School,Elektrotehničar računarske tehnike i automatike,Engineering,na,Unemployed ,No,Yes,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree
Somewhat disagree9,Somewhat disagreeSomewhat disagree,Male,BiH,BiH,High School,na,Engineering,na,Student,Yes,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Neutral,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree
NeutralStrongly disagree,Somewhat disagreeStrongly disagree,Female,Bosnian,Bosnia and Herzegovina,High School,na,Engineering,na,Student of computer science and informatics,No,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree
NeutralSomewhat disagree,Somewhat disagree0,Female,Bosnian,Bosnia and Herzegovina,High School,na,Other,N/A,N/A,Yes,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Neutral,Strongly agree,Somewhat agree
NeutralNeutral,Somewhat disagree0,Male,Bosnian,Bosnia and Herzegovina,High School,na,Other,N/A,N/A (student),No,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neutral,Strongly agree,Somewhat agree,Neutral
NeutralStrongly agree,Somewhat disagreeStrongly disagree,Male,Bosnian,Bosnia and Herzegovina,High School,na,Engineering,na,N/A,No,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree
Neutral6,Strongly disagree9,Male,BiH,Bosnia and Herzegovina,High School,na,Other,Student,Studying at ETF Sarajevo,Yes,Yes,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Neutral,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree
Neutral7,Somewhat disagreeStrongly disagree,Male,Bosnian,Bosnia & Herzegovina,High School,na,Other,N/A,student,No,Yes,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree
Neutral9,Somewhat disagree0,Male,Bosnian,Bosnia and Herzegovina,High School,na,Engineering,na,Unemployed,Yes,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Somewhat agreeStrongly disagree,Somewhat disagreeStrongly disagree,Male,Bosnian,Bosnia and Herzegovina,High School,I'm studying for Bachelor Degree,Other,N/A,N/A,No,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Neutral,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat disagree
Somewhat agreeStrongly agree,NeutralNeutral,Male,German,Germany,Master Degree,na,AI/Robotics,na,Grad Student,Yes,Yes,No,Yes,Chair_Somewhat disagree,Bookshelf_Strongly disagree,Rerouting,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree
Somewhat agree8,Somewhat disagreeSomewhat agree,Male,Turkey,Turkey,Bachelor Degree,na,Engineering,na,Petroleum Subsea Engineer,No,No,No,Yes,Chair_Somewhat disagree,Sofa_Neutral,Rerouting,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Somewhat agree
Strongly agreeStrongly disagree,Somewhat disagree0,Female, Bosnia and Herzegovina,Bosnia and Herzegovina,High School,Electrical engineering student,Other,Student,Student,No,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Neutral,Neutral,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree
Strongly agreeSomewhat disagree,Neutral0,Male,Indian,India,Master Degree,na,Other,It,Project Manager,No,Yes,No,Yes,Chair_Somewhat disagree,Bookshelf_Strongly disagree,Rerouting,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Strongly agree9,Somewhat disagree6,Male,Bosnian,Bosnia and Herzegowina,Bachelor Degree,na,Engineering,na,Telecommunications,No,No,No,Yes,Chair_Somewhat disagree,Bookshelf_Strongly disagree,Rerouting,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Neutral
60,Somewhat disagreeSomewhat disagree,Male,Bosnian,Bosnia and Herzegovina,Bachelor Degree,Still on Bachelor degree program.,Engineering,na,Software engineer,No,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree
6Strongly disagree,Somewhat disagreeStrongly agree,Female,syrian,Germany,Bachelor Degree,Medical engineering,Other,n/a,student,No,No,No,Yes,Chair_Somewhat disagree,Bookshelf_Strongly disagree,Rerouting,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neutral,Strongly disagree,Strongly disagree,Neutral,Somewhat agree,Somewhat disagree
6Somewhat disagree,Somewhat disagreeStrongly disagree,Male,BiH,BiH,High School,Electrical Engineering ,Other,N/A,N/A,Yes,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Neutral,Somewhat disagree,Neutral,Somewhat agree,Somewhat agree,Neutral,Somewhat disagree,Somewhat agree,Strongly agree
