Response ID,Age,Sex,Nationality,Country of Residence,Completed level of education with specialization/major,Completed level of education with specialization/major [Comment],Profession,Profession [Other],Please specify your job title,Do you have previous experience with robotics?,Do you have previous experience with Explainable Artificial Intelligence?,Do you have color blindness?,I have understood the study design and task.,What was the first obstacle encountered by the robot during navigation?,What was the second obstacle encountered by the robot during navigation?,How was the second obstruction cleared?,I'm able to understand the actions/behavior of the robot with the given explanation.,I'm satisfied with the explanation provided.,The explanation provides sufficient details of the robot's actions and behaviors.,The explanation accurately describes the movement and actions of the robot.,The explanation provides reliable information about the robot's actions.,I could see the reasons behind choosing this method (visual) for the explanation.,The explanation describes the robot's actions/behaviors efficiently.,"With the explanation provided, I'm able to predict the behavior of the robot.",The explanation describes the robot's actions and situation completely​​​​​.
Somewhat disagree,Somewhat disagreeStrongly disagree,Female,Bosniak,Bosnia and Herzegovina ,High School,,Engineering,,Student,No,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Neutral,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neutral,Somewhat agree
Somewhat agree,Somewhat disagree0,Female,Bosniak,Bosnia and Hercegovina,High School,,Engineering,,Student,No,Yes,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neutral
Strongly agree,Somewhat disagreeStrongly disagree,Female,Bosniak,Bosnia and Herzegovina,High School,,Engineering,,Student and devops intern,Yes,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Neutral,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree
8,Somewhat disagree0,Female,Bosnian,Bosnia and Herzegovina,High School,,Other,Student,N/A,No,Yes,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree
9,Somewhat disagreeSomewhat disagree,Male,Bosnia & Herzegovina,Bosnia & Herzegovina,High School,,Other,computer science and informatics,Student,No,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Strongly disagree0,Somewhat disagreeNeutral,Male,Bosnian,Bosnia and Herzegovina,High School,,Other,Student,Student,Yes,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neutral
Strongly disagreeSomewhat disagree,Somewhat disagreeStrongly disagree,Male,Bosnian,Bosnia and Herzegovina,High School,,Other,N/A,Student,No,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Strongly disagreeSomewhat agree,Somewhat disagree0,Female,Bosniak,Bosnia and Herzegovina,High School,,Engineering,,Student,No,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Strongly disagreeStrongly agree,Somewhat disagreeStrongly disagree,Female,Bosnia and Herzegovina,Bosnia and Herzegovina,High School,,Engineering,,Student,No,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Neutral,Somewhat agree
Strongly disagree6,Somewhat disagree0,Male,Bosniak,Bosnia and Herzegovina,High School,,Engineering,,Computer science student,No,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral
Strongly disagree7,Somewhat disagree0,Female,Bosnia and Herzegovina,Bosnia and Herzegovina,Bachelor Degree,Engineering ,Other,N/A,N/A,Yes,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree
Strongly disagree8,Strongly disagree9,Male,BiH,Bosnia and Herzegovina,High School,/,Engineering,,Student,No,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree
Strongly disagree9,Somewhat disagree0,Male,Bosnian,Bosnia and Herzegovina,High School,Strongly disagreest year of college,Engineering,,Unemployed,Yes,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Somewhat disagreeSomewhat disagree,Somewhat disagree0,Female,Bosnian,Bosnia and Herzegowina,High School,,Other,Student,N/A,No,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Strongly agree,Strongly agree
Somewhat disagreeNeutral,Somewhat disagree0,Female,Bosnian,Bosnia and Herzegowina,High School,,Other,N/A,Student,Yes,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Somewhat disagreeStrongly agree,Somewhat disagreeStrongly agree,Male,German/Bosnian,Germany,Master Degree,,Healthcare,,Physician,Yes,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly disagree
Somewhat disagree6,Somewhat disagree0,Male,Bošnjak,Bosna i Hercegovina,High School,,Other,N/A,Student,Yes,Yes,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Neutral,Somewhat agree,Neutral,Neutral,Somewhat disagree,Neutral,Somewhat agree,Neutral
Somewhat disagree7,Somewhat disagreeNeutral,Female,Bosnian,Bosnia & Herzegovina,High School,,Other,N/A,N/A,Yes,Yes,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree
Somewhat disagree9,Somewhat disagree0,Male,Bosnia and Herzegovina,Bosnia and Herzegovina,High School,High school of electrical engineering - computing and informatics  ,Other,N/A,Unemployed-student  ,No,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree
Neutral0,Somewhat disagree0,Female,Bošnjakinja,BiH,High School,,Other,student,/,No,No,No,Yes,Chair_Somewhat disagree,Bookshelf_Strongly disagree,Moving human_Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree
NeutralStrongly disagree,Somewhat disagreeStrongly disagree,Male,Croatian/Bosnian,Bosnia and Herzegovina,High School,,Engineering,,"Unemployed, currently studying",No,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neutral
NeutralSomewhat disagree,Somewhat disagree0,Female,Bosnian,Bosnia and Herzegovina,Bachelor Degree,"Electrical Engineering,Strongly disagreest year",Engineering,,None,No,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree
NeutralSomewhat agree,Somewhat agree0,Male,French,Germany,Doctorate,,Engineering,,Thermal architect,Yes,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree
NeutralStrongly agree,Somewhat disagree6,Male,Indian,India,Bachelor Degree,,Engineering,,Software Developer,Yes,Yes,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral
Neutral6,Somewhat disagree7,Male,Bosnian,BiH,Master Degree,,Engineering,,Network and system administrator,Yes,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree
Somewhat agreeStrongly disagree,Somewhat disagree6,Female,indian,Germany,Master Degree,,Engineering,,N/A,No,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Neutral,Neutral,Somewhat agree,Neutral,Neutral,Somewhat agree,Somewhat agree,Somewhat agree
Somewhat agreeSomewhat disagree,Somewhat disagreeStrongly agree,Female,Bosnian ,Bosnia and Herzegovina,Bachelor Degree,Visual Art and Communication Design,Design,,Graphic designer,No,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree
Somewhat agreeNeutral,NeutralNeutral,Male,Italian,Austria,Master Degree,Pursuing now a PhD degree,Engineering,,Analog Design Engineer,No,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Somewhat agreeSomewhat agree,Somewhat disagree0,Female,BiH,Bosna i Hercegovina,High School,,Other,N/A,student,No,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Somewhat agree6,Somewhat disagreeSomewhat agree,Male,German,Germany,Bachelor Degree,,Psychology,,Student,Yes,Yes,No,Yes,Desk_Somewhat disagree,Bookshelf_Strongly disagree,Moving human_Somewhat agree,Neutral,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neutral,Somewhat agree,Neutral
Somewhat agree8,Somewhat disagree0,Male,Bosniak,Bosnia and Herzegovina,High School,,Engineering,,Electrical Engineer,No,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
Somewhat agree9,Neutral7,Female,Syrian,Germany ,Master Degree,,Engineering,,Engineer ,No,Yes,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neutral,Somewhat disagree
Strongly agree0,Somewhat disagree0,Male,bih,bih,Bachelor Degree,,Engineering,,student,No,Yes,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Neutral,Neutral,Neutral
Strongly agreeNeutral,Somewhat disagreeSomewhat agree,Female,indian,germany,Bachelor Degree,,Engineering,,student,Yes,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Strongly agreeStrongly agree,Somewhat disagreeStrongly disagree,Male,Bosniak,Bosnia and Herzegovina,High School,,Engineering,,Student,No,Yes,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Strongly agree6,Somewhat disagree0,Female,Bosnian ,Bosnia and Herzegovina ,High School,,Other,N/A,N/A,No,No,No,Yes,Chair_Somewhat disagree,Bookshelf_Strongly disagree,Moving human_Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Neutral
